date,site,rep,spores_l,water_year
2024-08-11,PT,3,0.48,2024
2024-08-26,PT,1,0.4,2024
2024-08-26,PT,2,5.3,2024
2024-08-26,PT,3,8.24,2024
2024-09-09,PT,1,6.98,2024
2024-09-09,PT,2,7.07,2024
2024-09-09,PT,3,0.8,2024
2024-09-25,PT,1,8.36,2024
2024-09-25,PT,2,12.4,2024
2024-09-25,PT,3,16.57,2024
2024-10-08,PT,1,4.65,2025
2024-10-08,PT,2,2.6,2025
2024-10-08,PT,3,6.55,2025
2024-10-22,PT,1,4.21,2025
2024-10-22,PT,2,5.17,2025
2024-10-22,PT,3,6.96,2025
